study_id,first_author,year,ta_decision,ft_decision,extraction_status,pdf_url,ai_system,ai_version,regulator_certified,camera_type,tp,fn,tn,fp,sensitivity,specificity,auc,prevalence,n_total_arm,evidence_snippet,evidence_page,evidence_source
Tsai_2022,Tsai M,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tsai_2022.pdf,VeriSee DR (Kowa nonmyd 8 series arm),nan,none,"Topcon TRC-NW400, Topcon TRC-NW8 series, Kowa nonmyd 8 series (all non-mydriatic)",113.0,5.0,315.0,38.0,0.957,0.893,,0.2505,471.0,"this study, the sensitivity ranged from 8s. Therefore, the camera models were classified into three 89.4% to 95.7%, and the specificity ranged from 89.3% to categories (TRC-NW400 series, TRC-NW8 series, and 94.2% (Table 2). There w",2.0,sens_spec
Tsai_2022,Tsai M,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tsai_2022.pdf,VeriSee DR (Topcon TRC-NW400 arm),nan,none,"Topcon TRC-NW400, Topcon TRC-NW8 series, Kowa nonmyd 8 series (all non-mydriatic)",42.0,5.0,405.0,25.0,0.894,0.942,,0.0985,477.0,l Sensitivity(95%CI) Specificity(95%CI) TRC-NW400 89.4%(80.6-98.2%) 94.2%(92.0-96.4%) TRC-NW8series 94.7%(89.6-99.8%) 90.4%(87.4-93.3%) Nomyd8series 95.7%(92.1-99.4%) 89.3%(86.0-92.5%) CI:confidenceinterval. Table3:Sensitivityan,3.0,sens_spec
Tsai_2022,Tsai M,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tsai_2022.pdf,VeriSee DR (Topcon TRC-NW8 series arm),nan,none,"Topcon TRC-NW400, Topcon TRC-NW8 series, Kowa nonmyd 8 series (all non-mydriatic)",70.0,4.0,348.0,37.0,0.947,0.904,,0.1612,459.0,l Sensitivity(95%CI) Specificity(95%CI) TRC-NW400 89.4%(80.6-98.2%) 94.2%(92.0-96.4%) TRC-NW8series 94.7%(89.6-99.8%) 90.4%(87.4-93.3%) Nomyd8series 95.7%(92.1-99.4%) 89.3%(86.0-92.5%) CI:confidenceinterval. Table3:Sensitivityandspecificity,3.0,sens_spec
Tsai_2022,Tsai M-J,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tsai_2022.pdf,VeriSee DR,nan,unknown,Topcon TRC-NW400; Topcon TRC-NW8 series; Kowa nonmyd 8 series,,,,,0.894,0.942,,,477.0,l Sensitivity(95%CI) Specificity(95%CI) TRC-NW400 89.4%(80.6-98.2%) 94.2%(92.0-96.4%) TRC-NW8series 94.7%(89.6-99.8%) 90.4%(87.4-93.3%) Nomyd8series 95.7%(92.1-99.4%) 89.3%(86.0-92.5%) CI:confidenceinterval. Table3:Sensitivityan,3.0,sens_spec
Tsai_2022,Tsai M-J,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tsai_2022.pdf,VeriSee DR,nan,unknown,Topcon TRC-NW400; Topcon TRC-NW8 series; Kowa nonmyd 8 series,,,,,0.947,0.904,,,459.0,l Sensitivity(95%CI) Specificity(95%CI) TRC-NW400 89.4%(80.6-98.2%) 94.2%(92.0-96.4%) TRC-NW8series 94.7%(89.6-99.8%) 90.4%(87.4-93.3%) Nomyd8series 95.7%(92.1-99.4%) 89.3%(86.0-92.5%) CI:confidenceinterval. Table3:Sensitivityandspecificity,3.0,sens_spec
Tsai_2022,Tsai M-J,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tsai_2022.pdf,VeriSee DR,nan,unknown,Topcon TRC-NW400; Topcon TRC-NW8 series; Kowa nonmyd 8 series,,,,,0.957,0.893,,,471.0,"this study, the sensitivity ranged from 8s. Therefore, the camera models were classified into three 89.4% to 95.7%, and the specificity ranged from 89.3% to categories (TRC-NW400 series, TRC-NW8 series, and 94.2% (Table 2). There w",2.0,sens_spec
Tufail et al. (2016),Tufail A,2016,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tufail et al. (2016).pdf,EyeArt,nan,CE,mixed (multiple camera types used in Homerton DESP),,,,,0.938,,,,20258.0,"EyeArt 94.7% (95% CI 94.2% to 95.2%) for any retinopathy, 93.8% (95% CI 92.9% to 94.6%) for referable retinopathy and 99.6% (95% CI 97.0% to 99.9%) for proliferative retinopathy",,abstract
Tufail et al. (2016),Tufail A,2016,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tufail et al. (2016).pdf,Retmarker,0.8.2,CE,mixed (multiple camera types used in Homerton DESP),,,,,0.85,,,,20258.0,"Retmarker 73.0% (95% CI 72.0% to 74.0%) for any retinopathy, 85.0% (95% CI 83.6% to 86.2%) for referable retinopathy and 97.9% (95% CI 94.9 to 99.1%) for proliferative retinopathy",,abstract
Tufail_2017,Tufail A,2017,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tufail_2017.pdf,EyeArt,nan,CE,"not stated (NHS DESP-compliant fundus cameras, 2 fields per eye)",,,,,0.938,,,,20258.0,"d by 3 ARIAS: iGradingM, Retmarker, and EyeArt. Discrepancies between manual grades and ARIAS results were sent to a reading center for arbitration. Main Outcome Measures: Screening performance (sensitivity, false-positive rate) and diagnostic accuracy (95% confidence intervals of screening-performance measures) were d",1.0,ai_name
Tufail_2017,Tufail A,2017,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tufail_2017.pdf,EyeArt,nan,CE,not stated,,,,,0.938,,,,20258.0,"d by 3 ARIAS: iGradingM, Retmarker, and EyeArt. Discrepancies between manual grades and ARIAS results were sent to a reading center for arbitration. Main Outcome Measures: Screening performance (sensitivity, false-positive rate) and diagnostic accuracy (95% confidence intervals of screening-performance measures) were d",1.0,ai_name
Tufail_2017,Tufail A,2017,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tufail_2017.pdf,Retmarker,0.8.2,CE,"not stated (NHS DESP-compliant fundus cameras, 2 fields per eye)",,,,,0.85,,,,20258.0,"d were processed by 3 ARIAS: iGradingM, Retmarker, and EyeArt. Discrepancies between manual grades and ARIAS results were sent to a reading center for arbitration. Main Outcome Measures: Screening performance (sensitivity, false-positive rate) and diagnostic accuracy (95% confidence intervals of screening-performance m",1.0,ai_name
Tufail_2017,Tufail A,2017,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tufail_2017.pdf,Retmarker,0.8.2 (2014/02/10),CE,not stated,,,,,0.85,,,,20258.0,"d were processed by 3 ARIAS: iGradingM, Retmarker, and EyeArt. Discrepancies between manual grades and ARIAS results were sent to a reading center for arbitration. Main Outcome Measures: Screening performance (sensitivity, false-positive rate) and diagnostic accuracy (95% confidence intervals of screening-performance m",1.0,ai_name
Tufail_2017,Tufail A,2017,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tufail_2017.pdf,iGradingM,1.1,CE,"not stated (NHS DESP-compliant fundus cameras, 2 fields per eye)",,,,,,,,,20258.0,"screeningand were processed by 3 ARIAS: iGradingM, Retmarker, and EyeArt. Discrepancies between manual grades and ARIAS results were sent to a reading center for arbitration. Main Outcome Measures: Screening performance (sensitivity, false-positive rate) and diagnostic accuracy (95% confidence intervals of screening-pe",1.0,ai_name
Tufail_2017,Tufail A,2017,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tufail_2017.pdf,iGradingM,1.1,CE,not stated,,,,,,,,,20258.0,"screeningand were processed by 3 ARIAS: iGradingM, Retmarker, and EyeArt. Discrepancies between manual grades and ARIAS results were sent to a reading center for arbitration. Main Outcome Measures: Screening performance (sensitivity, false-positive rate) and diagnostic accuracy (95% confidence intervals of screening-pe",1.0,ai_name
Vaghefi et al. (2022),Vaghefi E,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Vaghefi et al. (2022).pdf,THEIA,V1 (latest iteration at time of trial),none,"Canon DGi, Canon CR2, Canon CR2+AF (45-degree non-mydriatic) and iCare EIDON confocal scanning laser ophthalmoscope",243.0,0.0,646.0,11.0,1.0,0.9833,,0.27,900.0,Overall 98.78% [646 11][0 243] 98.33% 100%. THEIA achieved a 100% sensitivity and 98.18% specificity... The confusion matrix shows the predicted results in rows and ground truth in columns.,1686.0,table
39430352,Van TN,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/39430352.pdf,EyeArt,v2.0,FDA,Nonmydriatic digital fundus camera: Volk Pictor Plus (2560x1920) or Canon CR-2 AF (32.5 MP),115.0,4.0,418.0,46.0,0.966,0.901,,0.283,583.0,"Referral DR screening: TP, FP 115, 46; FN, TN 4, 418; Sensitivity 96.6 (93.3-99.2); Specificity 90.1 (87.3-92.9); Accuracy 91.4 (89.0-93.7).",397.0,table
37847478,Vought R,2023,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/37847478.pdf,EyeArt,nan,FDA,Canon CR-2 Plus AF non-mydriatic 45° retinal camera,,,,,0.74,0.87,,,124.0,"For referrals, the sensitivity of EyeArt was 74%, specificity was 87%, positive predictive value was 72%, and negative predictive value was 88%.",4855.0,text
37541766,Whitestone N,2023,maybe,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/37541766.pdf,Cybersight AI (Orbis International),Inception-ResNet-v2 CNN,none,Topcon NW400 non-mydriatic 45° fundus camera,,,,,0.92,0.85,0.96,,827.0,"the sensitivity of the AI for referrable DR with the AI internal threshold of 0.5, as used during the screening program, was 92% (Confidence Interval (CI) 0.863, 0.968), with a specificity of 85% (CI 0.824, 0.874).",12.0,text
Wintergerst et al. (2021),Wintergerst MWM,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Wintergerst et al. (2021).pdf,EyeArt,2.1.0,CE,"CenterVue DRS (Digital Retinography System), 45° non-mydriatic",,,,,0.75,0.98,,,48.0,"Detection of referral-warranted DED Sensitivity 0.50 (0.12-0.88) / 0.75 (0.19-0.99); Specificity 0.74 (0.60-0.84) / 0.98 (0.88-1.00) [in subset evaluable by the algorithm, n=48].",293.0,table
Yang et al. (2022),Yang Y,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Yang et al. (2022).pdf,AIDRScreening,1.0,NMPA,"Zeiss Visucam FF450, Topcon TRC-50DX, Topcon NW-400 (mixed)",346.0,53.0,541.0,22.0,0.8672,0.9609,,0.4148,962.0,AI system RDR 346 22 368; Non-RDR 53 541 594; Total 399 563 962 (Supplementary Table S1). Sensitivity 86.72% (95% CI: 83.39–90.05%) and specificity 96.09% (95% CI: 94.14–97.54%).,10.0,table
Zhang et al. (2022),Zhang W,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Zhang et al. (2022).pdf,EyeWisdom V1,V1,none,Topcon TRC-NW6S; Canon CR2; KOWA Nonmyd alpha-DIII 8300 (non-dilated posterior pole),581.0,44.0,433.0,31.0,0.9296,0.9332,0.958,0.5739,1089.0,"For detecting referable DR, the sensitivity and specificity were relatively high, which were 92.96% (95%CI 90.66-94.84%) and 93.32% (95%CI 90.65-95.42%)",6.0,text|derived_2x2
32174153,van der Heijden A,2018,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/32174153.pdf,IDx-DR,2.0,CE,"Topcon TRC NW 100 nonmydriatic, 45° two-field (macula-centred + nasal)",20.0,2.0,732.0,144.0,0.91,0.84,0.94,0.024,898.0,"Comparing the IDx-DR device to human grading based on EURODIAB, the IDx-DR device had only few false-negative test results and few false-positive test results in the detection of RDR resulting in a high sensitivity [0.91 (95% CI: 0.69–0.98)",66.0,table
32174153,van der Heijden A,2018,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/32174153.pdf,IDx-DR,2.0,CE,"Topcon TRC NW 100 nonmydriatic, 45° two-field (macula-centred + nasal)",50.0,23.0,711.0,114.0,0.68,0.86,0.87,0.081,898.0,"Using the ICDR classification, the IDx-DR device showed a sensitivity of 0.68 (95% CI: 0.56–0.79), and a specificity of 0.86 (95% CI: 0.84–0.88) in the detection of RDR",66.0,table
van et al. (2018),van der Heijden A,2018,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/van et al. (2018).pdf,IDx-DR,2.0,CE,"Topcon TRC NW 100 nonmydriatic, 45° two-field (macula-centred + nasal)",20.0,2.0,732.0,144.0,0.91,0.84,0.94,0.0245,898.0,"Sensitivity, specificity, PPV and NPV of IDx-DR to detect RDR were 91% (95% CI: 0.69–0.98), 84% (95% CI: 0.81–0.86), 12% ... and 100% ... (EURODIAB)",63.0,abstract
van et al. (2018),van der Heijden A,2018,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/van et al. (2018).pdf,IDx-DR,2.0,CE,"Topcon TRC NW 100 nonmydriatic, 45° two-field (macula-centred + nasal)",50.0,23.0,711.0,114.0,0.68,0.86,0.87,0.0813,898.0,"Using the ICDR classification, the IDx-DR device showed a sensitivity of 0.68 (95% CI: 0.56–0.79), and a specificity of 0.86 (95% CI: 0.84–0.88) in the detection of RDR",66.0,text
40125479.0,Šín M,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/40125479.0.pdf,Aireen,nan,other,"Canon CR-2 AF non-mydriatic digital fundus camera, 1.69 MP, one macula-centered field, no pharmacological dilation",339.0,29.0,713.0,73.0,0.921,0.907,,0.319,1154.0,"Sensitivity ... for AI system Aireen was 92.1% (95% CI: 89.3; 94.9). Specificity was 76.5%, 81.2%, and 90.7% (95% CI: 88.7; 92.7) for GO, RS and AI system Aireen, respectively.",1.0,table|derived_2x2
doi_10.1038_s41433-020-01350-8,Bahl A,2022,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1038_s41433-020-01350-8.pdf,Medios AI (Remidio Non-Mydriatic Fundus on Phone),nan,none,"Remidio Non-Mydriatic Fundus on Phone (smartphone-based, handheld)",,,,,,,,0.0355,197.0,Good quality images were obtained in 197 cases of which 7 cases of referable diabetic retinopathy were detected by the AI software.,1.0,text
doi_10.2337_dc19-2133,Bhuiyan A,2020,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.2337_dc19-2133.pdf,iHealthScreen DL ensemble (Xception + Inception-V3 + Inception-ResNet-V2 + LMT),nan,none,Topcon TRC-NW400 (nonmydriatic),16.0,3.0,895.0,60.0,0.826,0.937,,0.0195,974.0,"These gold standard gradings were compared with analysis by our DL system, which achieved a sensitivity of 82.6%, adequate for U.S. Food and Drug Administration approval of a screening system, and a specificity of 93.7% for referral-level D",1.0,text|derived_2x2
doi_10.1177_11795514231203867,Cason J,2023,include,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1177_11795514231203867.pdf,Cybersight AI,nan,none,fundus camera (not specified),25.0,5.0,1230.0,14.0,0.842,0.989,0.912,0.0235,1274.0,"for referable DR, these values were 84.2% (CI 67.8-100%) and 98.9% (CI 98.3%-99.5%). The MCC, AUC-ROC and the AUC-PR for referable DR were 63.4, 91.2 and 76.2% respectively.",1.0,abstract|derived_2x2
doi_10.1111_aos.14132,Grzybowski A,2019,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1111_aos.14132.pdf,IDx-DR,nan,FDA,Topcon TRC-NW400 non-mydriatic,62.0,4.0,274.0,14.0,0.94,0.95,,0.186,354.0,"Out of 278 patients judged as having no DR by the IDx-DR system, only four were subsequently found to have DR... out of the 76 patients for whom the screening results were deemed positive by the AI, 14 were false-positives... sensitivity an",1149.0,text
doi_10.1007_s11606-024-09319-z,Heuer R,2025,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1007_s11606-024-09319-z.pdf,EyeArt,nan,FDA,nan,,,,,,,,,320.0,"Three hundred twenty patients underwent EyeArt screening at WMPC. Of these, 19% (n = 61) screened positive for DR and were urgently referred to an optometrist/ophthalmologist",,text
10.1016_j.diabres.2025.112806,Huhtinen,2025,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/10.1016_j.diabres.2025.112806.pdf,,,,,,,,,,,,,,,,
Huhtinen_2025,Huhtinen P,2025,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Huhtinen_2025.pdf,AI 1 (anonymized),nan,unknown,Optomed Aurora handheld fundus camera (50° macula- and disc-centred images),46.0,8.0,99.0,3.0,0.85,0.969,,0.346,156.0,"hors declare no conflicts of interests in the pre- study. Acta Ophthalmologica, 99(8), 1415–1420. sent study. Petri Huhtinen and Laura Piila are employers Sun, H., Saeedi, P., Karuranga, S., Pinkepank, M., Ogurtsova, K., Duncan, B.B. et al. (2022) IDF diabetes atlas: global, regional of Optomed. and country- level diab",2.0,3of4_droptp
Huhtinen_2025,Huhtinen P,2025,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Huhtinen_2025.pdf,AI 2 (anonymized),nan,unknown,Optomed Aurora handheld fundus camera (50° macula- and disc-centred images),46.0,8.0,97.0,5.0,0.85,0.948,,0.346,156.0,nsitivity [%] Specificity [%] PPV [%] NPV [%] Youden's index 1 92.3 85.0 96.9 94.4 91.2 0.82 2 91.0 85.0 94.8 91.1 91.0 0.80 3 85.9 91.7 82.3 79.7 94.0 0.74 4a 87.8 76.7 94.8 90.2 86.7 0.71 4b 85.9 83.1 87.6 80.3 89.5 0.71 6a 8,1.0,sens_spec
Huhtinen_2025,Huhtinen P,2025,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Huhtinen_2025.pdf,AI 3 (anonymized),nan,unknown,Optomed Aurora handheld fundus camera (50° macula- and disc-centred images),50.0,4.0,84.0,18.0,0.917,0.823,,0.346,156.0,V [%] NPV [%] Youden's index 1 92.3 85.0 96.9 94.4 91.2 0.82 2 91.0 85.0 94.8 91.1 91.0 0.80 3 85.9 91.7 82.3 79.7 94.0 0.74 4a 87.8 76.7 94.8 90.2 86.7 0.71 4b 85.9 83.1 87.6 80.3 89.5 0.71 6a 85.3 81.7 87.5 80.3 88.4 0.69 6b,1.0,sens_spec
Huhtinen_2025,Huhtinen P,2025,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Huhtinen_2025.pdf,AI 4a (anonymized),nan,unknown,Optomed Aurora handheld fundus camera (50° macula- and disc-centred images),41.0,13.0,97.0,5.0,0.767,0.948,,0.346,156.0,.3 85.0 96.9 94.4 91.2 0.82 2 91.0 85.0 94.8 91.1 91.0 0.80 3 85.9 91.7 82.3 79.7 94.0 0.74 4a 87.8 76.7 94.8 90.2 86.7 0.71 4b 85.9 83.1 87.6 80.3 89.5 0.71 6a 85.3 81.7 87.5 80.3 88.4 0.69 6b 86.5 76.7 92.7 86.8 86.4 0.69 8 84.,1.0,sens_spec
Huhtinen_2025,Huhtinen P,2025,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Huhtinen_2025.pdf,AI 4b (anonymized),nan,unknown,Optomed Aurora handheld fundus camera (50° macula- and disc-centred images),45.0,9.0,89.0,13.0,0.831,0.876,,0.346,156.0,0 85.0 94.8 91.1 91.0 0.80 3 85.9 91.7 82.3 79.7 94.0 0.74 4a 87.8 76.7 94.8 90.2 86.7 0.71 4b 85.9 83.1 87.6 80.3 89.5 0.71 6a 85.3 81.7 87.5 80.3 88.4 0.69 6b 86.5 76.7 92.7 86.8 86.4 0.69 8 84.0 83.3 84.4 78.1 89.0 0.68 9a 8,1.0,sens_spec
Huhtinen_2025,Huhtinen P,2025,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Huhtinen_2025.pdf,AI 6a (anonymized),nan,unknown,Optomed Aurora handheld fundus camera (50° macula- and disc-centred images),44.0,10.0,89.0,13.0,0.817,0.875,,0.346,156.0,91.7 82.3 79.7 94.0 0.74 4a 87.8 76.7 94.8 90.2 86.7 0.71 4b 85.9 83.1 87.6 80.3 89.5 0.71 6a 85.3 81.7 87.5 80.3 88.4 0.69 6b 86.5 76.7 92.7 86.8 86.4 0.69 8 84.0 83.3 84.4 78.1 89.0 0.68 9a 82.1 83.3 81.3 84.3 88.6 0.65 9b 84.,1.0,sens_spec
Huhtinen_2025,Huhtinen P,2025,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Huhtinen_2025.pdf,AI 6b (anonymized),nan,unknown,Optomed Aurora handheld fundus camera (50° macula- and disc-centred images),41.0,13.0,95.0,7.0,0.767,0.927,,0.346,156.0,76.7 94.8 90.2 86.7 0.71 4b 85.9 83.1 87.6 80.3 89.5 0.71 6a 85.3 81.7 87.5 80.3 88.4 0.69 6b 86.5 76.7 92.7 86.8 86.4 0.69 8 84.0 83.3 84.4 78.1 89.0 0.68 9a 82.1 83.3 81.3 84.3 88.6 0.65 9b 84.0 76.7 88.5 80.7 85.9 0.65 Averag,1.0,sens_spec
Huhtinen_2025,Huhtinen P,2025,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Huhtinen_2025.pdf,AI 8 (anonymized),nan,unknown,Optomed Aurora handheld fundus camera (50° macula- and disc-centred images),45.0,9.0,86.0,16.0,0.833,0.844,,0.346,156.0,b 85.9 83.1 87.6 80.3 89.5 0.71 6a 85.3 81.7 87.5 80.3 88.4 0.69 6b 86.5 76.7 92.7 86.8 86.4 0.69 8 84.0 83.3 84.4 78.1 89.0 0.68 9a 82.1 83.3 81.3 84.3 88.6 0.65 9b 84.0 76.7 88.5 80.7 85.9 0.65 Average 86.5 82.3 89.1 84.6 89.,1.0,sens_spec
Huhtinen_2025,Huhtinen P,2025,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Huhtinen_2025.pdf,AI 9a (anonymized),nan,unknown,Optomed Aurora handheld fundus camera (50° macula- and disc-centred images),45.0,9.0,83.0,19.0,0.833,0.813,,0.346,156.0,"3 81.7 87.5 80.3 88.4 0.69 6b 86.5 76.7 92.7 86.8 86.4 0.69 8 84.0 83.3 84.4 78.1 89.0 0.68 9a 82.1 83.3 81.3 84.3 88.6 0.65 9b 84.0 76.7 88.5 80.7 85.9 0.65 Average 86.5 82.3 89.1 84.6 89.1 Abbreviations: AI, artificial intell",1.0,sens_spec
Huhtinen_2025,Huhtinen P,2025,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Huhtinen_2025.pdf,AI 9b (anonymized),nan,unknown,Optomed Aurora handheld fundus camera (50° macula- and disc-centred images),41.0,13.0,90.0,12.0,0.767,0.885,,0.346,156.0,"5 76.7 92.7 86.8 86.4 0.69 8 84.0 83.3 84.4 78.1 89.0 0.68 9a 82.1 83.3 81.3 84.3 88.6 0.65 9b 84.0 76.7 88.5 80.7 85.9 0.65 Average 86.5 82.3 89.1 84.6 89.1 Abbreviations: AI, artificial intelligence; NPV, negative predictive",1.0,sens_spec
doi_10.1177_0969141315571953,Kapetanakis,2015,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1177_0969141315571953.pdf,,,,,,,,,,,,,,,,
doi_10.1177_19322968231194041,Kuklinski E,2023,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1177_19322968231194041.pdf,EyeArt,nan,nan,Canon CR-2 Plus AF nonmydriatic retinal camera,,,,,,,,,54.0,"The fundus photos were sent for grading by the AI program, EyeArt (EyeNuk, CA), which is designed to grade fundus photos for DR severity (none, mild, or more than mild). Cohen's Kappa for in-person versus AI was .751 ± .082.",,text
doi_10.1001_jamaophthalmol.2025.1194,Lum,2025,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1001_jamaophthalmol.2025.1194.pdf,,,,,,,,,,,,,,,,
doi_10.1007_s11030-023-10702-x,Muralitharan,2024,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1007_s11030-023-10702-x.pdf,,,,,,,,,,,,,,,,
10.1007_s13410-024-01393-7,Negiloni K,2024,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/10.1007_s13410-024-01393-7.pdf,Medios AI-DR,nan,CE,"Remidio FOP NM-10 (smartphone non-mydriatic, ~45 degree)",,,,,1.0,0.884,,,231.0,"Natarajan et al., JAMA Ophthalmol, 2019 Indian 231 Prospective 100.0% (78.2–100.0%) 88.4% (83.2–92.5%)",737.0,table
10.1007_s13410-024-01393-7,Negiloni K,2024,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/10.1007_s13410-024-01393-7.pdf,Medios AI-DR,nan,CE,"Remidio FOP NM-10 (smartphone non-mydriatic, ~45 degree)",,,,,1.0,0.8955,,,1294.0,"Jain A et al. IJO, 2021 Indian 1294 Prospective 100% (94.72–100.00%) 89.55% (87.76–91.16%)",737.0,table
10.1007_s13410-024-01393-7,Negiloni K,2024,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/10.1007_s13410-024-01393-7.pdf,Medios AI-DR,nan,CE,"Remidio FOP NM-10 (smartphone non-mydriatic, ~45 degree)",,,,,0.953,0.8389,,,478.0,"Polyclinics, Rao et al., IJO, 2024 Armenian 478 Retrospective 95.30% (91.9–98.7%) 83.89% (79.9–87.90%)",737.0,table
10.1007_s13410-024-01393-7,Negiloni K,2024,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/10.1007_s13410-024-01393-7.pdf,Medios AI-DR,nan,CE,"Remidio FOP NM-10 (smartphone non-mydriatic, ~45 degree)",,,,,0.814,0.915,,,535.0,"Mobile primary health care, DR screening clinic, Kemp et al., BMJ Open Ophthal, 2023 Dominica 535 Prospective 81.4% (75.5–86.3%) 91.5% (87.9–94.3%)",737.0,table
10.1007_s13410-024-01393-7,Negiloni K,2024,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/10.1007_s13410-024-01393-7.pdf,Medios AI-DR,nan,CE,Topcon,,,,,0.983,0.837,,,135.0,"Tertiary eye hospital Rao et al., Clinical Ophthal, 2022 Indian 135 Retrospective (Topcon camera) 98.3% (96–100%) 83.7% (73%, 94%)",737.0,table
10.1007_s13410-024-01393-7,Negiloni K,2024,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/10.1007_s13410-024-01393-7.pdf,Medios AI-DR,nan,CE,Topcon,,,,,0.95,0.8,,,807.0,"Diabetes Clinics Gryzybowski et al., Opht Res, 2023 Polish 807 Retrospective (Topcon camera) 95% (91–98%) 80% (77–83%)",737.0,table
10.1007_s13410-024-01393-7,Negiloni K,2024,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/10.1007_s13410-024-01393-7.pdf,Medios AI-DR,nan,CE,"Remidio FOP NM-10 (smartphone non-mydriatic, ~45 degree)",,,,,0.93,0.925,,,900.0,"Sosale et al. (BMJ Open Diab Res Care, 2020 Indian 900 Prospective 93% (91.3–94.7%) 92.5% (90.8–94.2%)",737.0,table
10.1007_s13410-024-01393-7,Negiloni K,2024,maybe,exclude,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/10.1007_s13410-024-01393-7.pdf,Medios AI-DR,nan,CE,"Remidio FOP NM-10 (smartphone non-mydriatic, ~45 degree)",,,,,0.9884,0.8673,,,297.0,"Sosale et al., IJO, 2020 Indian 297 Prospective 98.84% (97.62–100%) 86.73% (82.87–90.59%)",737.0,table
